Rank,Metro,New housing units authorized per 1k existing homes (2024),New housing units authorized per 1k existing homes (2022),Total new housing units authorized (2024),Total new housing units authorized (2022),Percentage change in housing units authorized (2022–2024),Median home price,Population
278,"Santa Maria-Santa Barbara, CA",4.6,6.8,750,"1,096",-31.6%,"$995,432","443,975"
279,"Columbus, GA-AL",4.6,11.3,680,"1,648",-58.7%,"$200,236","326,136"
280,"Salinas, CA",4.6,7.5,677,"1,086",-37.7%,"$856,826","435,834"
281,"Niles, MI",4.6,3.7,354,286,+23.8%,"$268,223","153,411"
282,"Lawrence, KS",4.6,7.5,247,401,-38.4%,"$332,081","119,547"
283,"Grand Forks, ND-MN",4.6,3.4,226,165,+37.0%,"$261,027","103,669"
284,"Montgomery, AL",4.5,4.6,790,797,-0.9%,"$204,907","385,159"
285,"Waterloo-Cedar Falls, IA",4.5,3.5,337,264,+27.7%,"$198,674","168,163"
286,"Vineland, NJ",4.4,2.1,253,120,+110.8%,"$267,566","152,915"
287,"Urban Honolulu, HI",4.3,6.8,"1,638","2,526",-35.2%,"$851,436","1,003,666"
288,"El Centro, CA",4.3,9.5,253,551,-54.1%,"$365,428","179,319"
289,"San Angelo, TX",4.3,6.1,233,322,-27.6%,"$241,381","120,830"
290,"Binghamton, NY",4.2,3.9,483,445,+8.5%,"$186,544","245,844"
291,"Sioux City, IA-NE-SD",4.2,7.6,252,449,-43.9%,"$217,572","144,007"
292,"New Haven, CT",4.1,5.4,"1,014","1,346",-24.7%,"$390,079","566,803"
293,"Detroit-Warren-Dearborn, MI",4.0,4.1,"7,704","7,945",-3.0%,"$264,707","4,367,620"
294,"Akron, OH",4.0,9.6,"1,282","3,047",-57.9%,"$231,601","699,508"
295,"Norwich-New London-Willimantic, CT",4.0,3.5,509,445,+14.4%,"$405,158","279,025"
296,"Monroe, LA",4.0,4.8,416,489,-14.9%,"$160,899","224,705"
297,"Fond du Lac, WI",3.9,3.1,183,142,+28.9%,"$279,235","104,053"
298,"Barnstable Town, MA",3.8,5.3,640,887,-27.8%,"$759,137","230,073"
299,"Albany, GA",3.8,3.0,259,202,+28.2%,"$162,098","146,768"
300,"Springfield, OH",3.8,3.0,232,183,+26.8%,"$195,168","135,445"
301,"Hartford-West Hartford-East Hartford, CT",3.7,3.9,"1,887","1,945",-3.0%,"$384,822","1,144,012"
302,"Rochester, NY",3.7,5.5,"1,801","2,653",-32.1%,"$270,653","1,058,875"
303,"Wichita Falls, TX",3.7,5.8,239,378,-36.8%,"$173,549","148,978"
304,"Providence-Warwick, RI-MA",3.6,2.9,"2,620","2,123",+23.4%,"$507,954","1,673,807"
305,"Topeka, KS",3.6,4.1,382,429,-11.0%,"$215,815","232,724"
306,"Pueblo, CO",3.6,6.7,269,497,-45.9%,"$295,627","168,726"
307,"Huntington-Ashland, WV-KY-OH",3.5,1.5,602,255,+136.1%,"$154,989","372,801"
308,"Florence-Muscle Shoals, AL",3.5,3.8,261,274,-4.7%,"$210,481","152,685"
309,"Alexandria, LA",3.5,5.2,241,353,-31.7%,"$167,996","150,593"
310,"Monroe, MI",3.5,4.0,237,266,-10.9%,"$260,143","155,001"
311,"New Orleans-Metairie, LA",3.4,7.4,"1,611","3,443",-53.2%,"$253,141","988,763"
312,"Toledo, OH",3.3,4.0,928,"1,119",-17.1%,"$198,572","602,977"
313,"Decatur, AL",3.3,4.0,234,279,-16.1%,"$230,053","156,924"
314,"Jefferson City, MO",3.3,2.8,215,179,+20.1%,"$259,750","150,147"
315,"Muncie, IN",3.3,3.9,173,201,-13.9%,"$164,375","112,109"
316,"Racine-Mount Pleasant, WI",3.2,1.9,277,163,+69.9%,"$301,242","196,888"
317,"Bloomington, IL",3.2,5.8,243,437,-44.4%,"$252,913","170,882"
318,"Parkersburg-Vienna, WV",3.2,1.5,138,66,+109.1%,"$164,067","88,960"
319,"San Francisco-Oakland-Fremont, CA",3.1,5.9,"5,914","11,180",-47.1%,"$1,165,757","4,653,593"
320,"Syracuse, NY",3.1,1.8,936,532,+75.9%,"$248,781","657,128"
321,"Lansing-East Lansing, MI",3.1,4.7,649,973,-33.3%,"$245,220","470,434"
322,"Watertown-Fort Drum, NY",3.1,2.9,191,179,+6.7%,"$214,889","116,130"
323,"Kankakee, IL",3.1,2.6,139,116,+19.8%,"$214,315","106,833"
324,"Redding, CA",3.0,4.7,246,375,-34.4%,"$376,712","181,554"
325,"Santa Fe, NM",3.0,7.5,244,590,-58.6%,"$561,729","155,175"
326,"Canton-Massillon, OH",2.9,4.5,528,810,-34.8%,"$209,702","400,495"
327,"Erie, PA",2.8,2.0,339,238,+42.4%,"$211,694","269,544"
328,"Gadsden, AL",2.8,3.3,133,157,-15.3%,"$177,924","103,208"
329,"Corvallis, OR",2.8,7.0,116,286,-59.4%,"$559,062","96,359"
330,"Kalamazoo-Portage, MI",2.6,4.0,301,457,-34.1%,"$272,865","261,437"
331,"Terre Haute, IN",2.6,2.9,193,216,-10.6%,"$163,664","168,850"
332,"Mansfield, OH",2.6,4.5,143,247,-42.1%,"$187,127","125,138"
333,"Anniston-Oxford, AL",2.6,1.5,138,78,+76.9%,"$165,848","116,141"
334,"Buffalo-Cheektowaga, NY",2.5,2.9,"1,375","1,591",-13.6%,"$276,444","1,161,385"
335,"Anchorage, AK",2.5,1.2,426,213,+100.0%,"$394,537","399,746"
336,"Santa Cruz-Watsonville, CA",2.4,5.7,259,608,-57.4%,"$1,159,942","266,021"
337,"Lawton, OK",2.4,1.4,135,79,+70.9%,"$146,713","127,174"
338,"Elmira, NY",2.4,2.1,93,81,+14.8%,"$151,487","82,805"
339,"Flint, MI",2.3,2.2,420,406,+3.4%,"$188,669","404,087"
340,"Reading, PA",2.3,2.2,397,386,+2.8%,"$304,138","429,989"
341,"Rockford, IL",2.3,2.2,336,318,+5.7%,"$206,243","336,605"
342,"Longview, TX",2.3,6.1,288,745,-61.3%,"$216,115","288,921"
343,"Texarkana, TX-AR",2.3,2.4,156,161,-3.1%,"$180,995","146,868"
344,"Scranton--Wilkes-Barre, PA",2.2,2.3,596,608,-2.0%,"$219,225","567,887"
345,"Springfield, MA",2.2,3.7,443,740,-40.1%,"$364,270","462,853"
346,"Lima, OH",2.2,2.4,100,109,-8.3%,"$179,039","101,685"
347,"Hot Springs, AR",2.1,1.9,111,99,+12.1%,"$248,551","100,062"
348,"Utica-Rome, NY",2.0,2.3,271,324,-16.4%,"$214,760","289,577"
349,"Springfield, IL",2.0,2.1,200,210,-4.8%,"$186,949","207,386"
350,"Hattiesburg, MS",2.0,2.3,132,154,-14.3%,"$210,731","154,567"
351,"Cape Girardeau, MO-IL",1.9,2.1,83,94,-11.7%,"$224,702","97,813"
352,"Pittsfield, MA",1.8,1.8,127,126,+0.8%,"$387,651","128,047"
353,"Saginaw, MI",1.6,2.0,141,175,-19.4%,"$167,237","189,210"
354,"Altoona, PA",1.6,2.2,87,123,-29.3%,"$174,300","121,854"
355,"Farmington, NM",1.6,3.0,78,143,-45.5%,"$260,023","121,178"
356,"Battle Creek, MI",1.5,1.6,91,95,-4.2%,"$182,852","133,846"
357,"St. Joseph, MO-KS",1.5,1.8,81,95,-14.7%,"$204,858","120,609"
358,"Youngstown-Warren, OH",1.4,1.8,274,364,-24.7%,"$165,614","428,430"
359,"Peoria, IL",1.4,1.7,230,290,-20.7%,"$162,013","365,773"
360,"Beckley, WV",1.3,1.9,69,104,-33.7%,"$145,726","113,653"
361,"Williamsport, PA",1.2,2.1,65,113,-42.5%,"$229,548","113,570"
362,"Decatur, IL",1.2,0.4,57,21,+171.4%,"$121,277","102,591"
363,"Charleston, WV",1.0,1.5,106,160,-33.8%,"$146,281","207,456"
364,"Johnstown, PA",1.0,1.5,62,94,-34.0%,"$108,544","132,355"
365,"Victoria, TX",1.0,4.7,43,204,-78.9%,"$221,652","98,377"
366,"Bay City, MI",0.7,1.4,35,67,-47.8%,"$177,686","103,235"
367,"Enid, OK",0.7,1.7,19,46,-58.7%,"$137,944","62,322"
368,"Fairbanks-College, AK",0.4,0.6,18,27,-33.3%,"$299,770","95,555"
369,"Weirton-Steubenville, WV-OH",0.3,0.6,18,33,-45.5%,"$128,256","115,566"
370,"Morgantown, WV",0.2,0.2,16,11,+45.5%,"$219,172","140,724"
371,"Wheeling, WV-OH",0.1,0.3,9,18,-50.0%,"$136,882","138,015"
