Rank,Metro,New housing units authorized per 1k existing homes (2024),New housing units authorized per 1k existing homes (2022),Total new housing units authorized (2024),Total new housing units authorized (2022),Percentage change in housing units authorized (2022–2024),Median home price,Population
62,"Wenatchee-East Wenatchee, WA",17.0,15.2,992,861,+15.2%,"$513,348","123,251"
63,"Winchester, VA-WV",16.9,16.7,"1,083","1,041",+4.0%,"$381,056","144,676"
64,"Deltona-Daytona Beach-Ormond Beach, FL",16.8,25.5,"5,991","8,746",-31.5%,"$337,416","689,939"
65,"Augusta-Richmond County, GA-SC",16.7,15.4,"4,658","4,190",+11.2%,"$240,717","618,022"
66,"Jonesboro, AR",16.6,19.4,"1,016","1,149",-11.6%,"$197,015","134,837"
67,"Sebring, FL",16.4,11.3,980,663,+47.8%,"$238,258","103,808"
68,"Hickory-Lenoir-Morganton, NC",16.2,15.8,"2,775","2,637",+5.2%,"$264,208","366,972"
69,"Knoxville, TN",16.1,11.6,"6,946","4,838",+43.6%,"$359,222","919,553"
70,"Lafayette-West Lafayette, IN",15.9,15.8,"1,607","1,538",+4.5%,"$280,104","225,019"
71,"Laredo, TX",15.9,14.4,"1,448","1,272",+13.8%,"$209,359","267,731"
72,"Atlanta-Sandy Springs-Roswell, GA",15.8,19.5,"40,687","48,501",-16.1%,"$389,097","6,176,937"
73,"Prescott Valley-Prescott, AZ",15.8,18.7,"2,068","2,366",-12.6%,N/A,"241,656"
74,"Twin Falls, ID",15.7,13.3,733,605,+21.2%,"$378,249","116,909"
75,"Des Moines-West Des Moines, IA",15.6,19.4,"5,064","6,122",-17.3%,"$294,086","720,331"
76,"Kahului-Wailuku, HI",15.6,9.4,"1,118",684,+63.5%,"$1,053,835","164,675"
77,"Greenville, NC",15.3,11.2,"1,300",928,+40.1%,"$243,659","172,279"
78,"Hanford-Corcoran, CA",15.3,9.3,726,436,+66.5%,"$357,275","152,830"
79,"Dover, DE",15.2,13.7,"1,201","1,056",+13.7%,"$365,777","185,043"
80,"Brunswick-St. Simons, GA",15.2,26.9,922,"1,568",-41.2%,"$312,671","114,345"
81,"Las Vegas-Henderson-North Las Vegas, NV",15.1,13.7,"14,754","13,066",+12.9%,"$440,327","2,293,764"
82,"Columbia, SC",15.1,15.3,"5,892","5,804",+1.5%,"$249,912","839,868"
83,"Spokane-Spokane Valley, WA",15.1,15.9,"3,961","4,022",-1.5%,"$425,185","591,793"
84,"Gulfport-Biloxi, MS",15.0,15.3,"2,930","2,903",+0.9%,"$220,231","418,452"
85,"Palm Bay-Melbourne-Titusville, FL",14.8,17.6,"4,603","5,258",-12.5%,"$349,842","620,533"
86,"Columbus, OH",14.7,13.0,"13,962","12,075",+15.6%,"$330,668","2,151,847"
87,"Richmond, VA",14.7,18.3,"8,642","10,414",-17.0%,"$388,273","1,327,321"
88,"Bend, OR",14.7,17.3,"1,867","2,113",-11.6%,"$678,302","253,650"
89,"Pensacola-Ferry Pass-Brent, FL",14.6,15.3,"3,445","3,519",-2.1%,"$306,761","516,994"
90,"Rochester, MN",14.5,17.3,"1,484","1,723",-13.9%,"$334,703","227,252"
91,"Valdosta, GA",14.5,20.1,972,"1,302",-25.3%,"$215,932","149,139"
92,"Staunton-Stuarts Draft, VA",14.4,7.9,818,442,+85.1%,"$320,505","126,052"
93,"Brownsville-Harlingen, TX",14.3,15.7,"2,347","2,506",-6.3%,"$199,406","423,192"
94,"Yuma, AZ",14.3,8.9,"1,401",852,+64.4%,"$277,595","207,685"
95,"Greensboro-High Point, NC",14.2,8.7,"4,976","2,993",+66.3%,"$257,798","779,894"
96,"Stockton-Lodi, CA",14.2,13.4,"3,779","3,485",+8.4%,"$548,640","787,416"
97,"Naples-Marco Island, FL",14.2,23.0,"3,524","5,517",-36.1%,"$577,736","387,681"
98,"Odessa, TX",14.2,12.8,"1,004",888,+13.1%,"$245,712","163,206"
99,"Ogden, UT",14.1,22.2,"3,294","5,027",-34.5%,"$512,783","645,510"
100,"Columbia, MO",14.0,8.3,"1,331",779,+70.9%,"$314,534","212,850"
101,"Grand Junction, CO",14.0,13.9,"1,014",969,+4.6%,"$427,576","157,316"
102,"Hagerstown-Martinsburg, MD-WV",13.8,16.9,"1,795","2,148",-16.4%,"$318,250","298,525"
103,"Jacksonville, NC",13.8,15.1,"1,246","1,322",-5.7%,"$283,669","208,537"
104,"Durham-Chapel Hill, NC",13.7,23.7,"3,858","6,392",-39.6%,"$422,322","594,291"
105,"Chattanooga, TN-GA",13.7,12.1,"3,594","3,081",+16.7%,"$326,279","569,333"
106,"Harrisonburg, VA",13.7,12.9,770,710,+8.5%,"$340,557","136,231"
107,"San Antonio-New Braunfels, TX",13.6,23.0,"14,857","24,336",-39.0%,"$286,497","2,612,802"
108,"Lubbock, TX",13.6,20.8,"2,223","3,279",-32.2%,"$207,824","354,782"
109,"Johnson City, TN",13.5,10.4,"1,358","1,024",+32.6%,"$280,757","208,934"
110,"Tampa-St. Petersburg-Clearwater, FL",13.4,19.8,"20,950","29,968",-30.1%,"$368,374","3,240,469"
111,"Lincoln, NE",13.4,22.7,"2,036","3,349",-39.2%,"$296,374","341,309"
112,"Trenton-Princeton, NJ",13.3,4.3,"2,026",643,+215.1%,"$445,479","383,286"
113,"Tallahassee, FL",13.1,17.2,"2,406","3,059",-21.3%,"$284,487","388,298"
114,"Yuba City, CA",13.1,11.3,873,738,+18.3%,"$432,575","182,050"
115,"Bloomington, IN",12.8,7.4,988,563,+75.5%,"$300,257","161,256"
116,"Indianapolis-Carmel-Greenwood, IN",12.6,14.9,"11,788","13,533",-12.9%,"$291,507","2,106,327"
117,"Gainesville, FL",12.6,20.0,"2,043","3,137",-34.9%,"$307,671","344,521"
118,"Missoula, MT",12.6,18.0,777,"1,078",-27.9%,"$577,564","124,435"
119,"Lake Charles, LA",12.5,9.9,"1,457","1,122",+29.9%,"$195,857","245,973"
120,"Fargo, ND-MN",12.4,19.9,"1,492","2,315",-35.6%,"$322,457","254,914"
121,"Charlottesville, VA",12.2,14.8,"1,267","1,500",-15.5%,"$464,931","222,937"
122,"Oklahoma City, OK",12.1,11.3,"7,707","7,048",+9.4%,"$242,405","1,445,122"
123,"Colorado Springs, CO",12.1,27.8,"3,994","8,844",-54.8%,"$467,318","760,782"
